premise, conclusion, weight
" Because its not a one-size-fits-all evaluation method, yet its treated as one, it strands the extremes (both poor/minorities and high achievers) to create an egalitarian outcome (as thats its purpose).", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", 1.0
" The reform to the Common Core failed to address the fundamental sources for educational inequality and low achievement, but instead increased them.", " The Race to the Top paved the way for the Common Core, which was found to be terrible.", 1.0
" The NRA spent $1.6 million lobbying against background check expansion laws.", " The NRA spends a lot of capital and resources in its lobbying efforts, which have made it one of the most powerful lobbies in the US.", 1.0
" According to the study, the positive change in racial attitudes had little to do with Obamas election and more to do with the prolonged television exposure that he received.", " A study shows that the Obama Effect, through continuous media coverage of him and his family, may have helped challenge the negative stereotypes many White Americans associated with African Americans.", -1.0
" A study of actual test takers and their performance on the GRE revealed that the level of performance of African Americans before and after Obamas election remained unchanged.", " Studies show a positive influence on the academic performance of African Americans as a result of the Obama Effect (p. 2).", -1.0
" A qualitative study investigating the effect of Obamas election on recent male African American high school graduates in southeast Georgia revealed that his election had a positive influence on their perceptions about the world and their future (p. 99).", " Studies show a positive influence on the academic performance of African Americans as a result of the Obama Effect (p. 2).", 1.0
" President Carter was integral in the signing of the Camp David Accords between Egypt and Israel, which normalised relations between the two countries after the Yom Kippur War.", " President Carter has had immense influence on US Foreign Policy in the Middle East, after leaving office.", 1.0
" Trump withdrew a piece of federal guidance by the Obama administration which allowed transgender students unrestricted access to bathrooms and locker rooms in-line with their gender identity.", " Obama and Trump have had different policies and views with regards to LGBTQ+ individuals.", 1.0
" Donald Trump has eased sanctions that were placed against major Russian companies during the Obama administration.", " Trump and Obama have differing policies with regards to Russia, with the former pushing for a softer foreign policy stance.", 1.0
" Senate Republicans staunchly opposed a number of Obamas policies, despite the fact that they were the very same policies they had advocated for under President Bush.", " In 2010, Senate Minority Leader Mitch McConnell stated that his top goal was to make Obama a one-term President, and that he would do so by refusing to cooperate with him and actively trying to repeal any of his policies.", 1.0
" Statistics show that around 66% of Republican voters prefer for their leaders to stand up to Obama rather than compromising.", " According the Obama, the reason for the lack of bipartisan support was because Republicans were unwilling to compromise on their ideals.", 1.0
" Obama began his career working for the Altgeld Gardens housing project in a severely impoverished, almost entirely African American part of Chicago. As a result, and even though he did not live there, he would have acquired an understanding of the challenges faced by African American communities.", " Obama has never lived in a black neighbourhood, instead opting to commute up to 90 minutes when working on projects in these communities.", -1.0
" A study investigating whether the Obama Effect had a positive influence on academic performance of African Americans relative to white students disconfirmed the findings of other studies, finding that test performance and positive thoughts about Obama had no relationship.", " Studies show a positive influence on the academic performance of African Americans as a result of the Obama Effect (p. 2).", -1.0
" The Consumer Financial Protection Bureau has given $12 billion to 29 million Americans whove been affected by harmful financial products. It is unlikely that a person in need of help will choose not to rely on this body given how effective it has shown itself to be.", " If consumers are skeptical of regulatory bodies they are less likely to engage with and get help from them.", -1.0
" Obama has often been criticized as the reason for the degradation of relations between the United States and Russia.", " Trump and Obama have differing policies with regards to Russia, with the former pushing for a softer foreign policy stance.", 1.0
" 21 prominent religious leaders have spoken up against the Equality Act, and how it curtails religious liberty.", " Some consider the introduction of the Equality Act to be an erosion of religious liberty because it prescribed an opinion on sexuality that jarred with biblical and conservative sexual morality.", 1.0
" Banks have imposed higher standards for lending to small businesses since the introduction of the Dodd Frank Act.", " The Dodd Frank Act is bad for small businesses and entrepreneurs.", 1.0
" The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", " The regulatory expansion introduced by the Dodd-Frank Act has disproportionately impacted smaller banks, thereby facilitating big banks to consolidate their market share.", 1.0
" In 2017, the NRA spent $4.1 million solely on lobbying for expanded gun rights.", " The NRA spends a lot of capital and resources in its lobbying efforts, which have made it one of the most powerful lobbies in the US.", 1.0
" If the position of a large bank is entrenched, then that means that if the bank were to go bankrupt it would harm the entire economic system.", " Some argue that the Dodd Frank Act has entrenched the position of the biggest banks. This means that the risk that they pose to the financial system has not been reduced.", 1.0
" For the first six years of Obamas life, he was raised by his single mother who was on food stamps. As such, he has experienced real hardship that others may identify with.", " Obamas stepfather, whom his mother married while Obama was still young, was wealthy and influential in the Indonesian government.", -1.0
" Obama may have endorsed Hillary Clinton so, as the future president, she would not reverse the policies that he passed during his presidency.", " There are other reasons that can explain Obamas endorsement of Hillary Clinton that are not motivated by a commitment to feminism.", 1.0
" Standardized tests are designed to test a certain portion of what students know, rather than everything that they know, which leads to narrowing of learning.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", 1.0
" The capacity of big banks to consolidate their market share isnt necessarily linked to the Dodd Frank Act. Some blame the removal of restrictions on multistate banking for the decline of small banks, leading to dominance by big banks.", " The regulatory expansion introduced by the Dodd-Frank Act has disproportionately impacted smaller banks, thereby facilitating big banks to consolidate their market share.", -1.0
" The Consumer Finance Protection Bureau (CFPB) has consolidated responsibility for consumer protection in one place. This leads to more effective regulation which is an important function of the creation of the CFPB.", " Many other regulatory bodies such as Federal Reserve, SEC and Federal Trade Commission already regulate banks. The function of the Consumer Finance Protection Bureau is therefore redundant.", -1.0
" Standardised testing has been used as a barometer to gauge student achievement by other administrations in the past, and hence Obama cannot be singled out for being responsible for its shortcomings.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", -1.0
" From the No Child Left Behind Act, it was shown that standardized tests (especially high stakes ones) increase the dropout rates. During the Obama administration, standardized tests were increased and turned into high stakes ones, but just hid the dropout rates by passing them instead, hence the low nationwide competence levels.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", 1.0
" In 2014, Obama launched a public-private initiative called My Brothers Keeper, which offers mentoring and educational programs to men of colour to help them reach their potential.", " During his 8 years in office, Obama introduced a range of programs targeted specifically towards enfranchising the worst-off African Americans, to considerable success.", 1.0
" Regulators have warned that the biggest banks in the US are still too big to fail. This means that in the case of their collapse they would need to be bailed out by taxpayers.", " The Dodd Frank Act prevents future taxpayer-funded bailouts. This is good for taxpayers.", -1.0
" Obamas election may have led most African Americans to incorrectly assume that the issue of racial justice has been resolved and is no longer a problem.", " Obamas election created the inaccurate idea among Americans that racial inequality had been overcome.", 1.0
" The immense lobbying power of the NRA is well known and well entrenched.", " Obama was aware of the immense lobbying power of the NRA when he promised to introduce stricter gun laws during his election campaign. The fact that this was an unrealistic promise does not exonerate him, but is instead suggestive of manipulative and misleading campaign promises.", 1.0
" When Republicans lost control of the North Carolina and Wisconsin governorships in 2016 and 2018, they used lame-duck legislative sessions to pass a number of bills which stripped the incoming Democratic governors of power.", " Republicans used dirty tactics to prevent Obama achieving his goals.", 1.0
" Since the Dodd-Frank Act, bigger banks have increased their market share by 36%.", " The regulatory expansion introduced by the Dodd-Frank Act has disproportionately impacted smaller banks, thereby facilitating big banks to consolidate their market share.", 1.0
" Trump, despite not having the same anti-Russian rhetoric as Obama, has harsh policies similar to his.", " Trump and Obama have differing policies with regards to Russia, with the former pushing for a softer foreign policy stance.", -1.0
" After the persecution and oppression of Sunni tribes by al-Maliki, Sunni tribes were ripe to become sympathetic toward or join ISIS who are Sunnis.", " After US troops left Iraq, Nuri Kamal al-Maliki consolidated his power and began aggressively oppressing Iraq’s Sunni tribes, which played in ISISs favour. A power-sharing arrangement with Ayad Allawi may have avoided this.", 1.0
" Trump withdrew from the Iran Nuclear Deal, which was considered to be a hallmark diplomatic decision by the Obama administration.", " Trump and Obama have significantly differing policies with regards to their approaches to Iran and Israel.", 1.0
" The percentage of individuals that explicitly expressed anti-black attitudes increased after Obamas presidency, rather than decreasing.", " Studies show that racism worsened throughout Obamas presidency.", 1.0
" The Dodd Frank Act makes it legally impossible for the government to bail out banks.", " The Dodd Frank Act prevents future taxpayer-funded bailouts. This is good for taxpayers.", 1.0
" 34% of black Americans think Obama has tried but failed to make progress on racial relations.", " During his 8 years in office, Obama introduced a range of programs targeted specifically towards enfranchising the worst-off African Americans, to considerable success.", -1.0
" Following the introduction of RTTT standardized tests, the US dropped in international education rankings.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", 1.0
" Under the separation of powers, the Senate is an independent body to the executive. It is not reasonable to hold Obama accountable for the actions of the independent Senate.", " During Obamas presidency, the Senate voted to permit guns to be transported in checked baggage on Amtrak trains.", -1.0
" Obamas delay in action with regards the uprisings of Tunisia and Egypt during the Arab Spring have been criticized for exacerbating said conflicts.", " Indecisiveness, unwillingness to lead and lack of clarity in defining the objectives in dealing with the Arab Spring are amongst the biggest criticisms of Obama", 1.0
" The Republicans in Congress vowed to challenge any potential executive action by Obama, seeking to close Guantanamo Bay in court.", " Congress should be blamed instead of Obama for failing to close down Guantanamo Bay detention camp.", 1.0
" If President Lincolns drive to outlaw slavery through the Thirteenth Amendment was reversed by a latter President, this would say more about the latter Presidents performance than the President Lincolns.", " Policies which are seen as objectively good may be repealed by worse Presidents in the future.", 1.0
" Critics argue that the Obama Effect is incorrectly identified as a quick fix for black achievement through magic role models and mis-prioritises the need for long term investment and reforms.", " Obamas election as the president is said to have created the Obama Effect - which refers to positive changes in racial attitudes as a result of offsetting negative stereotypes about African Americans. This makes him an esteemed role model for African Americans.", -1.0
" According to research from 2010, almost 8% of children in China aged from 10 to 15 were working 7 hours a day.", " The Chinese government accepts that human rights abuses like child labour are at the heart of its competitive export economy. Therefore, by strengthening economic ties with China, Obama was content to let America indirectly benefit from human suffering.", 1.0
" Both Obama and Obamas father studied at Harvard Law School.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", 1.0
" A majority of Democrats supported same-sex marriage as early as 2007;hence, it is unclear if it was this shift in public opinion which pushed Obama to change his stance on same-sex marriage.", " The shift in Obamas views on same-sex marriage in 2010, coincided with polls showing that 55% of Democrat voters agreed with same-sex marriage. It may be inferred from this that Obamas views wavered not because he sought to benefit LGBTQ+ people per se, but rather to benefit his political party.", -1.0
" During Obamas presidency, the Senate voted to permit guns to be transported in checked baggage on Amtrak trains.", " Rather than successfully passing gun control measures, Obamas presidency saw a further reduction in gun restrictions instead.", 1.0
" Drones often targeted mosques and funeral-precessions, in a blatant attempt to attack non-combatants and civilians.", " Thousands of innocent civilians died in US drone strikes on Pakistan, Yemen, and Somalia.", 1.0
" If both extremists and civilians are the victims of indiscriminate drone strikes, it can bring the groups closer together out of sympathy. Such actions undermined the ability of the US to build relationships with the communities.", " Fighting extremists requires support from the citizens of the country the terrorists are operating in. Drone strikes failed to build this support between civilians and the US, and their relationship deteriorated.", 1.0
" The Consumer Financial Protection Bureau provides resources for citizens and responds to their questions and complaints regarding banks and financial institutions.", " The Dodd Frank Act created the Consumer Financial Protection Bureau (CFPB) which provides more information and power to consumers.", 1.0
" Some argue that the Dodd Frank Act has entrenched the position of the biggest banks. This means that the risk that they pose to the financial system has not been reduced.", " The Dodd Frank Act introduced increased monitoring of large banks and insurance companies which pose a risk to the entire banking system.", -1.0
" The Race to the Top paved the way for the Common Core, which was found to be terrible.", " The Race to the Top (RTTT) did not succeed, which ended up being a waste of $4 billion.", 1.0
" RTTT redefined the goal of the education system as college and career readiness. This was a much-needed reform that had stalled in state legislatures, stood no chance of enactment in Congress, and could not be accomplished via unilateral action.", " The Race to the Top (RTTT) did not succeed, which ended up being a waste of $4 billion.", -1.0
" Obama has been reluctant to do anything significantly positive on behalf of African Americans and specifically racial justice.", " Obama is not a fit role model for African American youth because his election was detrimental to the cause of racial justice.", 1.0
" Obamas pronouncement of the Clinton campaign slogan, Im with her, combined with his remark that I dont think there has ever been someone so qualified to hold this office, underscores his support for a female President of the United States.", " Obama endorsed Hillary Clinton for the White House, helping her become the first woman in US history to be nominated by a major party. This further indicates his commitment to feminism.", 1.0
" Obama went out of his way to endorse Hillary Clintons nomination - becoming one of the very few presidents to campaign so strongly for their chosen successor.", " Obama endorsed Hillary Clinton for the White House, helping her become the first woman in US history to be nominated by a major party. This further indicates his commitment to feminism.", 1.0
" Since the start of Trumps administration, middle-class incomes have risen by $5,003 and median household income has increased by 8% to $65,976.", " Middle-class incomes fell significantly during the Obama Presidency, only to rise again after two years under the Trump Administration.", 1.0
" The Consumer Financial Protection Bureau holds businesses accountable for breaches of consumer protection laws.", " The Dodd Frank Act created the Consumer Financial Protection Bureau (CFPB) which provides more information and power to consumers.", 1.0
" Banks responded to the introduction of the Volcker Rule by reducing risk taking practices.", " The Volcker Rule, a rule featured in the Dodd Frank Act, has been criticised as being arbitrary and ineffective at eliminating investment risk.", -1.0
" Obama picked Justice Garland because he had traits and a history that he felt would appeal to Republican Senators. His selection was a concession in itself, which suggests there is little more that Obama could have done to have him appointed.", " It was in the interest of the Republican party to halt any SCOTUS nomination until after the 2016 election, when they may have had the opportunity to appoint a conservative nomination. There is little Obama could have done to remove this incentive.", 1.0
" Obama made significant efforts to decrease the effects of student loans in his tenure, including an income-based repayment plan, reducing the interest on Stafford Loans, and putting $50 billion into grants for low-income college students.", " The rate of student loan debt increased faster under his presidency than before it.", -1.0
" The secretive and hidden nature of drone strikes left civilians in Pakistan, Yemen, and Somalia living in constant fear of a strike. It becomes hard to trust a country which may bring destruction to your community at any moment.", " Fighting extremists requires support from the citizens of the country the terrorists are operating in. Drone strikes failed to build this support between civilians and the US, and their relationship deteriorated.", 1.0
" Some of the qualities identified in this list do indirectly amount to being a good role model. For example, growing up poor shows that the candidate pushed through the barriers of circumstance and embodies the American Dream - qualities of a good role model.", " Polls have identified the top 10 qualities Democratic voters look for in a presidential candidate. Being a good role model does not make the list.", -1.0
" A series of Presidents preceding Obama passed civil-rights legislation that significantly improved the lives of the LGBTQ+ community.", " Obama ultimately became the first president to support same-sex marriage, making him a trailblazer for LGBTQ+ civil rights.", -1.0
" 2016 also saw an increase in the popularity of anti-establishment candidates throughout Europe. This is illustrative of the fact that anti-establishment sentiment arose globally from some external factor, and not necessarily from Obamas presidency.", " Anti-establishment and populist movements grew around the world following the global financial crisis. They are often independent of who is in power, and so Obama cannot be blamed for their growth in the US.", 1.0
" The decline in real GDP would have been closer to 14% rather than the 4% which occurred.", " According to a study, the 2009 financial crisis would have ended up hurting the US economy even more if it were not for Obamas economic policies.", 1.0
" The budget deficit may have grown to $2.8 trillion by 2011 i.e. more than 20% of the GDP instead of 10%.", " According to a study, the 2009 financial crisis would have ended up hurting the US economy even more if it were not for Obamas economic policies.", 1.0
" Mitch McConnell - US Senate Majority Leader and Republican - wrote in his book about how Obama would not negotiate with policy issues, but would straw man opposing views to policy to prove any opposition to be incorrect.", " Republican leaders believed that Obama did not possess the legislative experience to cut deals with them, and did not attempt to bring lawmakers to his side.", 1.0
" According to some experts, a much better bailout deal was possible, that was ruled out by political considerations of the Obama Administration.", " According to a study, the 2009 financial crisis would have ended up hurting the US economy even more if it were not for Obamas economic policies.", -1.0
" Despite his different class background, Obama has been able to normalize the presence of African Americans in the highest echelons of American society.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", -1.0
" A study shows that the Obama Effect, through continuous media coverage of him and his family, may have helped challenge the negative stereotypes many White Americans associated with African Americans.", " Obamas election as the president is said to have created the Obama Effect - which refers to positive changes in racial attitudes as a result of offsetting negative stereotypes about African Americans. This makes him an esteemed role model for African Americans.", 1.0
" Many other regulatory bodies such as Federal Reserve, SEC and Federal Trade Commission already regulate banks. The function of the Consumer Finance Protection Bureau is therefore redundant.", " The Dodd Frank Act created the Consumer Financial Protection Bureau (CFPB) which provides more information and power to consumers.", -1.0
" Obama became the first US President to visit Cuba since 1928 and since Fidel Castros insurgency against the pro US regime in 1959.", " Obama reversed a multi-generational trend by normalizing relations with Cuba, a move which was welcomed by fellow Latin American leaders.", 1.0
" Critics argued that it was wrong to increase trade and relations with Iran while they were still state-sponsors of terrorism and violence in the Middle East - something the Iran deal did not attempt to change.", " Many people considered the Iran deal a failure.", 1.0
" In August 2019, the Volcker Rule was changed after years of lobbying by banks for reform.", " The Volcker Rule, a rule featured in the Dodd Frank Act, has been criticised as being arbitrary and ineffective at eliminating investment risk.", 1.0
" There are other reasons that can explain Obamas endorsement of Hillary Clinton that are not motivated by a commitment to feminism.", " Obama endorsed Hillary Clinton for the White House, helping her become the first woman in US history to be nominated by a major party. This further indicates his commitment to feminism.", -1.0
" If Obama was so committed to feminism, he would have pulled out of the 2008 Democratic Party presidential primaries and let Hillary Clinton run for president, instead of winning over her.", " Obama endorsed Hillary Clinton for the White House, helping her become the first woman in US history to be nominated by a major party. This further indicates his commitment to feminism.", -1.0
" Joshua Aronson, a social psychologist, states that the best role models are those seen as having worked hard to achieve success. Aronson reasons that Obamas abilities might appear so atypical that typical black Americans cannot identify with him.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", 1.0
" Obama has never lived in a black neighbourhood, instead opting to commute up to 90 minutes when working on projects in these communities.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", 1.0
" A study on positive emotions and perspective-taking suggests that exposure to Obama may cue positive feelings, which in turn may lead to social broadening and an expansion of peoples’ sense of self to include others (p. 12).", " Obamas election as the president is said to have created the Obama Effect - which refers to positive changes in racial attitudes as a result of offsetting negative stereotypes about African Americans. This makes him an esteemed role model for African Americans.", 1.0
" Obamas father faced significant discrimination when he came to the US - including being forced out of Harvard - and so Obama is able to personally relate to some of the issues faced by immigrants in the US today.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", -1.0
" Obamas father faced significant discrimination when he came to the US - including being forced out of Harvard - and so Obama is able to personally relate to some of the issues faced by immigrants in the US today.", " Obama can be a good representative for immigrants in America, given that he is the son of a Kenyan immigrant.", 1.0
" President Carter has had immense influence on US Foreign Policy in the Middle East, after leaving office.", " Presidents have very little influence on the politics of a country after leaving office. Hence, presidents cannot be judged by the standard of whether their policies were repealed as they cannot control the political process that repeals these policies after they leave office.", -1.0
" Obamas stepfather, whom his mother married while Obama was still young, was wealthy and influential in the Indonesian government.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", 1.0
" Human rights organisations identify that techniques including sleep deprivation, sensory deprivation, and solitary confinement can still be used despite Obamas Executive Order.", " A closer reading of this Executive Order reveals that not all torture techniques were rendered unlawful because psychological torture could still be used under the guise of the war on terror.", 1.0
" The Obama family has helped humanise the black experience through, among other things, normalising black excellence and codifying graceful resistance to white supremacy.", " Obamas presence in the White House proved to black Americans and the world that they are capable of genius, career excellence, and humanity.", 1.0
" In 2010, Senate Minority Leader Mitch McConnell stated that his top goal was to make Obama a one-term President, and that he would do so by refusing to cooperate with him and actively trying to repeal any of his policies.", " Republican politicians are just as much, if not more, to blame for the lack of bipartisanship during Obamas tenure.", 1.0
" The problem of child labour has been significantly mitigated by the Chinese government over the past decade.", " The Chinese government accepts that human rights abuses like child labour are at the heart of its competitive export economy. Therefore, by strengthening economic ties with China, Obama was content to let America indirectly benefit from human suffering.", -1.0
" During the Obama administration, 25% of black households lived below the poverty line compared to just 8% of white households.", " The poverty statistics for African American individuals worsened significantly.", 1.0
" Studies show that racism worsened throughout Obamas presidency.", " Obama is not a fit role model for African American youth because his election was detrimental to the cause of racial justice.", 1.0
" In order to cooperate with China - one of the largest economies in the world - Obama and any US president would have to overlook their worsening human rights abuses.", " There are many foreign policy actions - such as stances on torture and genocide - which do not require compromise but simply a domestic moral consensus. The US has also failed to take the moral high ground on these issues during the Obama administration.", -1.0
" The demographics who vote in midterm and gubernatorial elections tend to be older, less ethnically diverse, more religious, and more rural than those who vote in the presidential election. These are all features which make a person more likely to be a Republican than a Democrat.", " The Democrats loss of seats were due to factors outside Obamas control and were not necessarily indicative of his popularity.", 1.0
" The economy may have contracted for more than twice as long i.e. more than three years.", " According to a study, the 2009 financial crisis would have ended up hurting the US economy even more if it were not for Obamas economic policies.", 1.0
" Some - such as Israeli Prime Minister Netanyahu - claimed that Iran were continuously violating their deal, yet the US still continued to increase relations and ease sanctions on them.", " Many people considered the Iran deal a failure.", 1.0
" The Consumer Financial Protection Bureau is unconstitutionally structured. This means it poses a threat to consumers and businesses.", " The Dodd Frank Act created the Consumer Financial Protection Bureau (CFPB) which provides more information and power to consumers.", -1.0
" Obamas election created the inaccurate idea among Americans that racial inequality had been overcome.", " Obama is not a fit role model for African American youth because his election was detrimental to the cause of racial justice.", 1.0
" Between 2007 and 2016, the average wealth of the bottom 99% dropped by $4,500.", " Middle-class incomes fell significantly during the Obama Presidency, only to rise again after two years under the Trump Administration.", 1.0
" President Bush has had very little influence on the US political system after his departure in 2008.", " Presidents have very little influence on the politics of a country after leaving office. Hence, presidents cannot be judged by the standard of whether their policies were repealed as they cannot control the political process that repeals these policies after they leave office.", 1.0
" Given the historical lack of success African Americans have had in the political sphere, Obamas election as the president makes him a counter-stereotypical role model for African Americans (p. 2).", " Obamas presence in the White House proved to black Americans and the world that they are capable of genius, career excellence, and humanity.", 1.0
" The gerrymandering done by the Republican party in 2010 has harmed the Democratic Partys chances at winning seats ever since.", " The Democrats loss of seats were due to factors outside Obamas control and were not necessarily indicative of his popularity.", 1.0
" Republicans used dirty tactics to prevent Obama achieving his goals.", " Republican politicians are just as much, if not more, to blame for the lack of bipartisanship during Obamas tenure.", 1.0
" The UNs committee against torture heavily criticised the US militarys continued use of torture despite Obamas attempt to eliminate it.", " A closer reading of this Executive Order reveals that not all torture techniques were rendered unlawful because psychological torture could still be used under the guise of the war on terror.", 1.0
" The Dodd Frank Act is bad for small businesses and entrepreneurs.", " Critics claim that the Dodd Frank Act is bad for the economy.", 1.0
" Obama needed Senate approval to appoint Justice Garland and the Republican Party were in the majority in the Senate. The Republicans chose to not to consent to the nomination, and to deny Obama any chance of appointing a Supreme Court Justice.", " Republicans used dirty tactics to prevent Obama achieving his goals.", 1.0
" Obama needed Senate approval to appoint Justice Garland and the Republican Party were in the majority in the Senate. The Republicans chose to not to consent to the nomination, and to deny Obama any chance of appointing a Supreme Court Justice.", " It was in the interest of the Republican party to halt any SCOTUS nomination until after the 2016 election, when they may have had the opportunity to appoint a conservative nomination. There is little Obama could have done to remove this incentive.", 1.0
" The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", " The Race to the Top (RTTT) did not succeed, which ended up being a waste of $4 billion.", 1.0
" Obama faltered in creating a comprehensive policy agenda on Guantanamo to push through in Congress, focusing on much more piecemeal changes such as prioritising the transfer of cleared detainees, over more institutional reform such as ending the role of military tribunals.", " Congress should be blamed instead of Obama for failing to close down Guantanamo Bay detention camp.", -1.0
" Studies show a positive influence on the academic performance of African Americans as a result of the Obama Effect (p. 2).", " Obamas election as the president is said to have created the Obama Effect - which refers to positive changes in racial attitudes as a result of offsetting negative stereotypes about African Americans. This makes him an esteemed role model for African Americans.", 1.0
" Trump and Obama have differing policies with regards to Russia, with the former pushing for a softer foreign policy stance.", " Trump and Obama have had extremely differing policies and ideologies in their tenures.", 1.0
" Presidential approval ratings are a representation of the respect the public gives to a particular Presidents character.", " Obama is considered to be a President that is much more moral than Donald Trump, as evidenced by their respective approval ratings after taking office.", 1.0
" About twice as many jobs may have been lost i.e. an estimate of almost 17 million jobs. This may have meant unemployment peaking to almost 16% rather than 10%.", " According to a study, the 2009 financial crisis would have ended up hurting the US economy even more if it were not for Obamas economic policies.", 1.0
" The broader Democratic party grew complacent during Obamas term, failing to reach out to and connect with voters.", " The Democrats loss of seats were due to factors outside Obamas control and were not necessarily indicative of his popularity.", 1.0
" The Consumer Finance Protection Bureau researches trends so that it can respond to and preempt possible harms to consumers.", " The Dodd Frank Act created the Consumer Financial Protection Bureau (CFPB) which provides more information and power to consumers.", 1.0
" Despite inheriting a violent legacy, Obama significantly reshaped the American war on drugs, from a punitive justice and militaristic issue, to a public health concern.", " Obamas War on Drugs policies caused significant damage to the countries and people of Latin America.", -1.0
" Taking an average of all the independent estimates, only around 1.38 million jobs were saved.", " A figure of 2 million jobs saved or created is a generous interpretation of the data range, which estimated that between 800,000 and 2.4 million jobs were saved or created.", 1.0
" Obama and Trump have had different policies and views with regards to LGBTQ+ individuals.", " Trump and Obama have had extremely differing policies and ideologies in their tenures.", 1.0
" In 2015, 7-in-10 Americans felt that Obama’s economic policies after the recession did little or nothing to help middle-class people.", " Middle-class incomes fell significantly during the Obama Presidency, only to rise again after two years under the Trump Administration.", 1.0
" By cooperating and developing strong economic ties with countries around the world, the US has been able to use those economic relationships to influence and dictate the behaviour of others.", " In foreign policy, it is often necessary to cooperate with those you disagree with in order to improve the world or the way in which rogue actors conduct themselves.", 1.0
" The NRA spends a lot of capital and resources in its lobbying efforts, which have made it one of the most powerful lobbies in the US.", " Obama failed to deliver on the promise of gun regulation due to the immense lobbying power and influence of the National Rifle Association (NRA).", 1.0
" The so-called bedrock of the economic stimulus package was to create shovel-ready projects that would put people in work right away. However, Obama later said there were no such thing when in fact there were viable options for such projects. As a result, the stimulus did not overcome the effects of the European debt crisis and rising gas prices in 2010.", " According to some economists, Obamas stimulus package led to the weakest recovery from a recession in history.", 1.0
" Conflation of pass rates of an exam and appeals processes allowed graduation rates to increase more than they should have. So the system was designed to create pathways for more people to graduate than should have been.", " After graduation rates became inflated under Obama, instead of addressing it as a problem and disgrace, him and his administration celebrated the stats by saying its the opposite: proof of their reforms working.", 1.0
" The Financial Stability Oversight Committee monitors risk in the financial industry by conducting research. It then makes recommendations or takes actions depending on the risks identified.", " The Dodd Frank Act introduced increased monitoring of large banks and insurance companies which pose a risk to the entire banking system.", 1.0
" Congress passed laws prohibiting the use of funds to close the Guantanamo Bay detention camp.", " Congress should be blamed instead of Obama for failing to close down Guantanamo Bay detention camp.", 1.0
" Despite Chinas actions breaking international law, Obama repeatedly took actions to de-escalate tensions, as opposed to holding Beijing accountable for their actions.", " Obamas lack of resistance to Beijings incursions in the South China Sea enabled China to gain power and control over the region.", 1.0
" Some consider the introduction of the Equality Act to be an erosion of religious liberty because it prescribed an opinion on sexuality that jarred with biblical and conservative sexual morality.", " The Obama administration was willing to sacrifice religious freedom in favour of sexual progressivism.", 1.0
" The Dodd-Frank Acts introduction of increased regulatory monitoring was based on the erroneous idea that the financial crisis was caused by under-regulation, when instead it was caused by bad regulation.", " The Dodd Frank Act introduced increased monitoring of large banks and insurance companies which pose a risk to the entire banking system.", -1.0
" The Volcker Rule creates an overly complex system of compliance. This system distracts regulators and risk managers from other tasks that would make the financial system safer.", " The Volcker Rule, a rule featured in the Dodd Frank Act, has been criticised as being arbitrary and ineffective at eliminating investment risk.", 1.0
" This was done despite a considerable amount of agreement with regards to immigration reform between Democrats and Republicans, unlike healthcare, where they differ significantly.", " By attempting to negotiate with Republicans on immigration reform instead of pushing it through Congress as he did for healthcare, Obama showed the Latino community in the US that they were not his priority.", 1.0
" In 2015, Obama helped pass the McCain-Feinstein amendment, which made it harder for future administrations to repeal the ban on torture mandated by the executive order. As such, he ensured that his campaign promise was solidified beyond just the duration of his administration.", " Presidents have very little influence on the politics of a country after leaving office. Hence, presidents cannot be judged by the standard of whether their policies were repealed as they cannot control the political process that repeals these policies after they leave office.", -1.0
" During Obamas presidency, the Senate voted to allow the concealed carry of firearms in national parks.", " Rather than successfully passing gun control measures, Obamas presidency saw a further reduction in gun restrictions instead.", 1.0
" In his own words, Obama attended a prestigious prep school, which was an incubator for [Hawaiis] elites, noting that his grandfather pulled strings to get him admitted.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", 1.0
